defense,level,f1,f1_ci,by,n,top5,top10,entropy,dDownB,dDownB_q1,dDownB_q3,dUpB,dT,dT_q1,dT_q3,n_pages
httpos,vlow,0.9992005017118579,0.0003232756317466353,robustfp,3,0.9993999999880012,0.9996999999940006,6.629656100896252,0.024,0.015,0.03,0.582,0.062,0.043,0.099,25.0
httpos,low,0.9997026065721717,0.0002741420845277671,robustfp,3,0.9998000099950007,0.9998000099950007,6.6380153700576505,0.031,0.023,0.036,0.613,0.129,0.093,0.166,25.0
httpos,lomid,0.9996984309223115,2.449802217537537e-06,robustfp,3,0.9996999999940006,0.9996999999940006,6.637309425761057,0.034,0.025,0.039,0.682,0.215,0.165,0.264,25.0
httpos,mid1,0.9996998941941874,0.00027802495629973903,robustfp,3,0.9997000299910015,0.9998000099950007,6.632347083435459,0.035,0.028,0.042,0.776,0.199,0.176,0.282,25.0
httpos,mid2,0.9996998941941874,0.0002759108252292957,robustfp,3,0.9996999699969997,0.9996999699969997,6.631750502874208,0.04,0.032,0.051,1.091,0.705,0.501,0.855,25.0
httpos,high,0.9799243690611447,0.004358847902669129,robustfp,3,0.998299889977,0.9991999499890002,6.385236881303045,0.046,0.039,0.055,1.741,1.515,1.08,2.096,25.0
llama,vlow,0.9851819227798472,0.0008966092040676494,robustfp,3,0.9965000999200101,0.9978000799480068,6.473320093877368,0.0,0.0,0.0,0.0,-0.008,-0.073,0.015,25.0
llama,low,0.9041168365625153,0.0007857165331360882,xgboost,3,0.9800001895810456,0.9883002697390316,6.0506826064261325,0.383,0.212,0.731,0.357,0.124,0.029,0.258,25.0
llama,lomid,0.9076762446690948,0.006769652380020999,robustfp,3,0.9809999596240369,0.9901997998240136,5.609586896625412,0.68,0.35,0.846,0.581,0.272,0.165,0.378,25.0
llama,mid1,0.8818705563204978,0.0036778304481676323,robustfp,3,0.9710998994320548,0.9848000096950308,5.50772134674316,0.83,0.463,1.099,0.75,0.33,0.118,0.565,25.0
llama,mid2,0.783639342028423,0.014392315873220613,robustfp,3,0.9376004487071382,0.9627999392620725,4.904510559764756,1.552,0.83,1.712,1.29,0.378,0.27,0.508,25.0
llama,high,0.7582809969541703,0.0035089725259551804,robustfp,3,0.9274998885611416,0.9609999692230771,4.390287699428452,2.408,2.005,2.796,2.121,0.557,0.443,0.741,25.0
nop,mid1,0.999304612095924,0.0004164701630313285,robustfp,3,0.9997000299910015,0.9997000299910015,6.6385586492429205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
tamaraw,vlow,0.8106991225663901,0.018468885259848886,robustfp,3,0.8974981481351495,0.9303985287550951,5.178205631303045,0.207,0.096,1.053,0.863,0.664,0.434,0.959,25.0
tamaraw,low,0.6133718153533989,0.008717495503091834,robustfp,3,0.7317009445395648,0.7910003657834289,3.399960420655462,0.305,0.038,0.744,1.491,0.862,0.506,1.185,25.0
tamaraw,lomid,0.5749175036673493,0.011397862578822226,robustfp,3,0.6757011034036817,0.7410008247375428,3.327987971034897,0.44,0.141,0.897,2.495,0.958,0.671,1.252,25.0
tamaraw,mid1,0.34515170363974573,0.0075425773196183595,robustfp,3,0.48660000973102707,0.5631995413098599,1.8117888590964204,0.977,0.125,4.16,4.02,1.137,0.68,1.451,25.0
tamaraw,mid2,0.17500300057377796,0.007757265077137361,robustfp,3,0.3199006163363787,0.4141010681752039,0.9072371941082205,2.181,0.666,8.412,6.582,1.148,0.816,1.804,25.0
tamaraw,high,0.13270335761072916,0.00861377194442427,xgboost,3,0.26025490994453543,0.3401337583932302,1.3815609436504568,2.851,0.935,8.136,7.172,1.301,0.979,1.733,25.0
